DATE,Dollar
1/1/1990,230.2804955
1/4/1990,225.8732133
1/7/1990,235.238688
1/10/1990,266.6405737
1/1/1991,285.096068
1/4/1991,261.131471
1/7/1991,276.0060484
1/10/1991,298.3179146
1/1/1992,319.8034154
1/4/1992,330.2707106
1/7/1992,318.2195483
1/10/1992,333.025262
1/1/1993,342.3907367
1/4/1993,307.9588444
1/7/1993,294.7369978
1/10/1993,303.4826985
1/1/1994,326.965249
1/4/1994,393.9008475
1/7/1994,466.5659096
1/10/1994,561.6530267
1/1/1995,551.7366417
1/4/1995,508.1721437
1/7/1995,542.8796929
1/10/1995,547.7008827
1/1/1996,476.2343835
1/4/1996,481.5233647
1/7/1996,445.4694732
1/10/1996,465.3821568
1/1/1997,520.9826377
1/4/1997,496.5630504
1/7/1997,450.0661253
1/10/1997,494.1010225
1/1/1998,581.4239382
1/4/1998,618.6147926
1/7/1998,600.1092543
1/10/1998,603.2394795
1/1/1999,491.3489888
1/4/1999,389.6597391
1/7/1999,310.0856984
1/10/1999,318.0136514
1/1/2000,291.2528025
1/4/2000,291.1806391
1/7/2000,254.4933125
1/10/2000,207.6475027
1/1/2001,195.9180386
1/4/2001,204.0466467
1/7/2001,283.9343782
1/10/2001,269.6930222
1/1/2002,303.1719582
1/4/2002,341.6553609
1/7/2002,376.7052632
1/10/2002,405.444154
1/1/2003,414.3214654
1/4/2003,383.252889
1/7/2003,373.2143765
1/10/2003,470.7055071
1/1/2004,496.624016
1/4/2004,468.8195669
1/7/2004,393.9916078
1/10/2004,379.45407
1/1/2005,356.3419146
1/4/2005,371.8803828
1/7/2005,366.6209635
1/10/2005,375.8957215
1/1/2006,383.9701105
1/4/2006,389.038434
1/7/2006,418.4807887
1/10/2006,475.8172658
1/1/2007,556.9750415
1/4/2007,711.5038325
1/7/2007,746.4049192
1/10/2007,861.709863
1/1/2008,1081.125622
1/4/2008,1088.903438
1/7/2008,828.3527984
1/10/2008,454.0657367
1/1/2009,536.0013999
1/4/2009,718.8052893
1/7/2009,641.7200976
1/10/2009,679.4954682
1/1/2010,763.4078388
1/4/2010,779.6696082
1/7/2010,841.5411811
1/10/2010,1055.147803
1/1/2011,1209.785225
1/4/2011,1114.377169
1/7/2011,1025.420941
1/10/2011,956.4254715
1/1/2012,1057.988667
1/4/2012,1038.733515
1/7/2012,920.8958517
1/10/2012,741.7188463
1/1/2013,780.2639197
1/4/2013,760.9621214
1/7/2013,726.1632595
1/10/2013,789.3987859
1/1/2014,813.6868775
1/4/2014,794.6947488
1/7/2014,695.9101455
1/10/2014,653.3416741
1/1/2015,627.8767412
1/4/2015,599.862983
1/7/2015,514.6156762
1/10/2015,518.0042758
1/1/2016,586.8626362
1/4/2016,647.7977701
1/7/2016,646.9913037
1/10/2016,677.7341558
1/1/2017,698.860557
1/4/2017,633.299956
1/7/2017,633.5364172
1/10/2017,625.5077555
1/1/2018,633.533377
1/4/2018,602.3068314
1/7/2018,532.471384
1/10/2018,471.1249311
1/1/2019,511.3734272
1/4/2019,483.3366475
1/7/2019,493.8932681
1/10/2019,607.2021049
1/1/2020,642.2468649
1/4/2020,530.0599688
1/7/2020,664.1734392
1/10/2020,827.7459689
1/1/2021,967.0397017
1/4/2021,1020.613664
1/7/2021,1064.660923
1/10/2021,1080.05
